,name,color_mean,color_std,hog,color_hist
41,Data/train\Cuu\cuu5.png,Feature\color_mean_cuu5.npy,Feature\color_out_cuu5.npy,Feature\hog_cuu5.npy,Feature\color_hist_cuu5.npy
42,Data/train\Cuu\cuu6.png,Feature\color_mean_cuu6.npy,Feature\color_out_cuu6.npy,Feature\hog_cuu6.npy,Feature\color_hist_cuu6.npy
43,Data/train\De\goat1.jpg,Feature\color_mean_goat1.npy,Feature\color_out_goat1.npy,Feature\hog_goat1.npy,Feature\color_hist_goat1.npy
44,Data/train\De\goat10.jpg,Feature\color_mean_goat10.npy,Feature\color_out_goat10.npy,Feature\hog_goat10.npy,Feature\color_hist_goat10.npy
45,Data/train\De\goat12.jpg,Feature\color_mean_goat12.npy,Feature\color_out_goat12.npy,Feature\hog_goat12.npy,Feature\color_hist_goat12.npy
46,Data/train\De\goat13.jpg,Feature\color_mean_goat13.npy,Feature\color_out_goat13.npy,Feature\hog_goat13.npy,Feature\color_hist_goat13.npy
47,Data/train\De\goat15.jpg,Feature\color_mean_goat15.npy,Feature\color_out_goat15.npy,Feature\hog_goat15.npy,Feature\color_hist_goat15.npy
48,Data/train\De\goat16.jpg,Feature\color_mean_goat16.npy,Feature\color_out_goat16.npy,Feature\hog_goat16.npy,Feature\color_hist_goat16.npy
49,Data/train\De\goat17.jpg,Feature\color_mean_goat17.npy,Feature\color_out_goat17.npy,Feature\hog_goat17.npy,Feature\color_hist_goat17.npy
50,Data/train\De\goat18.jpg,Feature\color_mean_goat18.npy,Feature\color_out_goat18.npy,Feature\hog_goat18.npy,Feature\color_hist_goat18.npy
51,Data/train\De\goat19.jpg,Feature\color_mean_goat19.npy,Feature\color_out_goat19.npy,Feature\hog_goat19.npy,Feature\color_hist_goat19.npy
52,Data/train\De\goat2.jpg,Feature\color_mean_goat2.npy,Feature\color_out_goat2.npy,Feature\hog_goat2.npy,Feature\color_hist_goat2.npy
53,Data/train\De\goat20.jpg,Feature\color_mean_goat20.npy,Feature\color_out_goat20.npy,Feature\hog_goat20.npy,Feature\color_hist_goat20.npy
54,Data/train\De\goat21.jpg,Feature\color_mean_goat21.npy,Feature\color_out_goat21.npy,Feature\hog_goat21.npy,Feature\color_hist_goat21.npy
55,Data/train\De\goat22.jpg,Feature\color_mean_goat22.npy,Feature\color_out_goat22.npy,Feature\hog_goat22.npy,Feature\color_hist_goat22.npy
56,Data/train\De\goat23.jpg,Feature\color_mean_goat23.npy,Feature\color_out_goat23.npy,Feature\hog_goat23.npy,Feature\color_hist_goat23.npy
57,Data/train\De\goat24.jpg,Feature\color_mean_goat24.npy,Feature\color_out_goat24.npy,Feature\hog_goat24.npy,Feature\color_hist_goat24.npy
58,Data/train\De\goat25.jpg,Feature\color_mean_goat25.npy,Feature\color_out_goat25.npy,Feature\hog_goat25.npy,Feature\color_hist_goat25.npy
59,Data/train\De\goat26.jpg,Feature\color_mean_goat26.npy,Feature\color_out_goat26.npy,Feature\hog_goat26.npy,Feature\color_hist_goat26.npy
60,Data/train\De\goat27.jpg,Feature\color_mean_goat27.npy,Feature\color_out_goat27.npy,Feature\hog_goat27.npy,Feature\color_hist_goat27.npy
61,Data/train\De\goat3.jpg,Feature\color_mean_goat3.npy,Feature\color_out_goat3.npy,Feature\hog_goat3.npy,Feature\color_hist_goat3.npy
62,Data/train\De\goat4.jpg,Feature\color_mean_goat4.npy,Feature\color_out_goat4.npy,Feature\hog_goat4.npy,Feature\color_hist_goat4.npy
63,Data/train\De\goat5.jpg,Feature\color_mean_goat5.npy,Feature\color_out_goat5.npy,Feature\hog_goat5.npy,Feature\color_hist_goat5.npy
64,Data/train\De\goat6.jpg,Feature\color_mean_goat6.npy,Feature\color_out_goat6.npy,Feature\hog_goat6.npy,Feature\color_hist_goat6.npy
65,Data/train\De\goat7.jpg,Feature\color_mean_goat7.npy,Feature\color_out_goat7.npy,Feature\hog_goat7.npy,Feature\color_hist_goat7.npy
66,Data/train\De\goat8.jpg,Feature\color_mean_goat8.npy,Feature\color_out_goat8.npy,Feature\hog_goat8.npy,Feature\color_hist_goat8.npy
67,Data/train\De\goat9.jpg,Feature\color_mean_goat9.npy,Feature\color_out_goat9.npy,Feature\hog_goat9.npy,Feature\color_hist_goat9.npy
68,Data/train\Lon\lon1.jpg,Feature\color_mean_lon1.npy,Feature\color_out_lon1.npy,Feature\hog_lon1.npy,Feature\color_hist_lon1.npy
69,Data/train\Lon\lon2.jpg,Feature\color_mean_lon2.npy,Feature\color_out_lon2.npy,Feature\hog_lon2.npy,Feature\color_hist_lon2.npy
70,Data/train\Lon\lon3.jpg,Feature\color_mean_lon3.npy,Feature\color_out_lon3.npy,Feature\hog_lon3.npy,Feature\color_hist_lon3.npy
71,Data/train\Lon\lon4.jpg,Feature\color_mean_lon4.npy,Feature\color_out_lon4.npy,Feature\hog_lon4.npy,Feature\color_hist_lon4.npy
72,Data/train\Lon\lon5.jpg,Feature\color_mean_lon5.npy,Feature\color_out_lon5.npy,Feature\hog_lon5.npy,Feature\color_hist_lon5.npy
73,Data/train\Lon\lon6.jpg,Feature\color_mean_lon6.npy,Feature\color_out_lon6.npy,Feature\hog_lon6.npy,Feature\color_hist_lon6.npy
74,Data/train\Lon\lon7.jpg,Feature\color_mean_lon7.npy,Feature\color_out_lon7.npy,Feature\hog_lon7.npy,Feature\color_hist_lon7.npy
75,Data/train\Lon\lon8.jpg,Feature\color_mean_lon8.npy,Feature\color_out_lon8.npy,Feature\hog_lon8.npy,Feature\color_hist_lon8.npy
76,Data/train\Nai\deer10.jpg,Feature\color_mean_deer10.npy,Feature\color_out_deer10.npy,Feature\hog_deer10.npy,Feature\color_hist_deer10.npy
77,Data/train\Nai\deer11.jpg,Feature\color_mean_deer11.npy,Feature\color_out_deer11.npy,Feature\hog_deer11.npy,Feature\color_hist_deer11.npy
78,Data/train\Nai\deer12.jpg,Feature\color_mean_deer12.npy,Feature\color_out_deer12.npy,Feature\hog_deer12.npy,Feature\color_hist_deer12.npy
79,Data/train\Nai\deer13.jpg,Feature\color_mean_deer13.npy,Feature\color_out_deer13.npy,Feature\hog_deer13.npy,Feature\color_hist_deer13.npy
80,Data/train\Nai\deer14.jpg,Feature\color_mean_deer14.npy,Feature\color_out_deer14.npy,Feature\hog_deer14.npy,Feature\color_hist_deer14.npy
81,Data/train\Nai\deer15.jpg,Feature\color_mean_deer15.npy,Feature\color_out_deer15.npy,Feature\hog_deer15.npy,Feature\color_hist_deer15.npy
82,Data/train\Nai\deer16.jpg,Feature\color_mean_deer16.npy,Feature\color_out_deer16.npy,Feature\hog_deer16.npy,Feature\color_hist_deer16.npy
83,Data/train\Nai\deer17.jpg,Feature\color_mean_deer17.npy,Feature\color_out_deer17.npy,Feature\hog_deer17.npy,Feature\color_hist_deer17.npy
84,Data/train\Nai\deer18.jpg,Feature\color_mean_deer18.npy,Feature\color_out_deer18.npy,Feature\hog_deer18.npy,Feature\color_hist_deer18.npy
85,Data/train\Nai\deer19.jpg,Feature\color_mean_deer19.npy,Feature\color_out_deer19.npy,Feature\hog_deer19.npy,Feature\color_hist_deer19.npy
86,Data/train\Nai\deer2.jpg,Feature\color_mean_deer2.npy,Feature\color_out_deer2.npy,Feature\hog_deer2.npy,Feature\color_hist_deer2.npy
87,Data/train\Nai\deer20.jpg,Feature\color_mean_deer20.npy,Feature\color_out_deer20.npy,Feature\hog_deer20.npy,Feature\color_hist_deer20.npy
88,Data/train\Nai\deer21.jpg,Feature\color_mean_deer21.npy,Feature\color_out_deer21.npy,Feature\hog_deer21.npy,Feature\color_hist_deer21.npy
89,Data/train\Nai\deer22.jpg,Feature\color_mean_deer22.npy,Feature\color_out_deer22.npy,Feature\hog_deer22.npy,Feature\color_hist_deer22.npy
90,Data/train\Nai\deer3.jpg,Feature\color_mean_deer3.npy,Feature\color_out_deer3.npy,Feature\hog_deer3.npy,Feature\color_hist_deer3.npy
91,Data/train\Nai\deer4.jpg,Feature\color_mean_deer4.npy,Feature\color_out_deer4.npy,Feature\hog_deer4.npy,Feature\color_hist_deer4.npy
92,Data/train\Nai\deer5.jpg,Feature\color_mean_deer5.npy,Feature\color_out_deer5.npy,Feature\hog_deer5.npy,Feature\color_hist_deer5.npy
93,Data/train\Nai\deer6.jpg,Feature\color_mean_deer6.npy,Feature\color_out_deer6.npy,Feature\hog_deer6.npy,Feature\color_hist_deer6.npy
94,Data/train\Nai\deer8.jpg,Feature\color_mean_deer8.npy,Feature\color_out_deer8.npy,Feature\hog_deer8.npy,Feature\color_hist_deer8.npy
95,Data/train\Nai\deer9.jpg,Feature\color_mean_deer9.npy,Feature\color_out_deer9.npy,Feature\hog_deer9.npy,Feature\color_hist_deer9.npy
96,Data/train\Ngua\horse10.jpg,Feature\color_mean_horse10.npy,Feature\color_out_horse10.npy,Feature\hog_horse10.npy,Feature\color_hist_horse10.npy
97,Data/train\Ngua\horse11.jpg,Feature\color_mean_horse11.npy,Feature\color_out_horse11.npy,Feature\hog_horse11.npy,Feature\color_hist_horse11.npy
98,Data/train\Ngua\horse12.jpg,Feature\color_mean_horse12.npy,Feature\color_out_horse12.npy,Feature\hog_horse12.npy,Feature\color_hist_horse12.npy
99,Data/train\Ngua\horse13.jpg,Feature\color_mean_horse13.npy,Feature\color_out_horse13.npy,Feature\hog_horse13.npy,Feature\color_hist_horse13.npy
100,Data/train\Ngua\horse14.jpg,Feature\color_mean_horse14.npy,Feature\color_out_horse14.npy,Feature\hog_horse14.npy,Feature\color_hist_horse14.npy
101,Data/train\Ngua\horse15.jpg,Feature\color_mean_horse15.npy,Feature\color_out_horse15.npy,Feature\hog_horse15.npy,Feature\color_hist_horse15.npy
102,Data/train\Ngua\horse16.jpg,Feature\color_mean_horse16.npy,Feature\color_out_horse16.npy,Feature\hog_horse16.npy,Feature\color_hist_horse16.npy
103,Data/train\Ngua\horse17.jpg,Feature\color_mean_horse17.npy,Feature\color_out_horse17.npy,Feature\hog_horse17.npy,Feature\color_hist_horse17.npy
104,Data/train\Ngua\horse18.jpg,Feature\color_mean_horse18.npy,Feature\color_out_horse18.npy,Feature\hog_horse18.npy,Feature\color_hist_horse18.npy
105,Data/train\Ngua\horse19.jpg,Feature\color_mean_horse19.npy,Feature\color_out_horse19.npy,Feature\hog_horse19.npy,Feature\color_hist_horse19.npy
106,Data/train\Ngua\horse2.jpg,Feature\color_mean_horse2.npy,Feature\color_out_horse2.npy,Feature\hog_horse2.npy,Feature\color_hist_horse2.npy
107,Data/train\Ngua\horse20.jpg,Feature\color_mean_horse20.npy,Feature\color_out_horse20.npy,Feature\hog_horse20.npy,Feature\color_hist_horse20.npy
108,Data/train\Ngua\horse21.jpg,Feature\color_mean_horse21.npy,Feature\color_out_horse21.npy,Feature\hog_horse21.npy,Feature\color_hist_horse21.npy
109,Data/train\Ngua\horse22.jpg,Feature\color_mean_horse22.npy,Feature\color_out_horse22.npy,Feature\hog_horse22.npy,Feature\color_hist_horse22.npy
110,Data/train\Ngua\horse23.jpg,Feature\color_mean_horse23.npy,Feature\color_out_horse23.npy,Feature\hog_horse23.npy,Feature\color_hist_horse23.npy
111,Data/train\Ngua\horse3.jpg,Feature\color_mean_horse3.npy,Feature\color_out_horse3.npy,Feature\hog_horse3.npy,Feature\color_hist_horse3.npy
112,Data/train\Ngua\horse4.jpg,Feature\color_mean_horse4.npy,Feature\color_out_horse4.npy,Feature\hog_horse4.npy,Feature\color_hist_horse4.npy
113,Data/train\Ngua\horse5.jpg,Feature\color_mean_horse5.npy,Feature\color_out_horse5.npy,Feature\hog_horse5.npy,Feature\color_hist_horse5.npy
114,Data/train\Ngua\horse6.jpg,Feature\color_mean_horse6.npy,Feature\color_out_horse6.npy,Feature\hog_horse6.npy,Feature\color_hist_horse6.npy
115,Data/train\Ngua\horse7.jpg,Feature\color_mean_horse7.npy,Feature\color_out_horse7.npy,Feature\hog_horse7.npy,Feature\color_hist_horse7.npy
116,Data/train\Ngua\horse8.jpg,Feature\color_mean_horse8.npy,Feature\color_out_horse8.npy,Feature\hog_horse8.npy,Feature\color_hist_horse8.npy
117,Data/train\Te Giac\tegiac1.jpg,Feature\color_mean_tegiac1.npy,Feature\color_out_tegiac1.npy,Feature\hog_tegiac1.npy,Feature\color_hist_tegiac1.npy
118,Data/train\Te Giac\tegiac2.jpg,Feature\color_mean_tegiac2.npy,Feature\color_out_tegiac2.npy,Feature\hog_tegiac2.npy,Feature\color_hist_tegiac2.npy
119,Data/train\Te Giac\tegiac3.jpg,Feature\color_mean_tegiac3.npy,Feature\color_out_tegiac3.npy,Feature\hog_tegiac3.npy,Feature\color_hist_tegiac3.npy
120,Data/train\Te Giac\tegiac4.jpg,Feature\color_mean_tegiac4.npy,Feature\color_out_tegiac4.npy,Feature\hog_tegiac4.npy,Feature\color_hist_tegiac4.npy
121,Data/train\Te Giac\tegiac5.jpg,Feature\color_mean_tegiac5.npy,Feature\color_out_tegiac5.npy,Feature\hog_tegiac5.npy,Feature\color_hist_tegiac5.npy
122,Data/train\Te Giac\tegiac6.jpg,Feature\color_mean_tegiac6.npy,Feature\color_out_tegiac6.npy,Feature\hog_tegiac6.npy,Feature\color_hist_tegiac6.npy
123,Data/train\Te Giac\tegiac7.jpg,Feature\color_mean_tegiac7.npy,Feature\color_out_tegiac7.npy,Feature\hog_tegiac7.npy,Feature\color_hist_tegiac7.npy
124,Data/train\Te Giac\tegiac8.jpg,Feature\color_mean_tegiac8.npy,Feature\color_out_tegiac8.npy,Feature\hog_tegiac8.npy,Feature\color_hist_tegiac8.npy
125,Data/train\Trau\trau1.jpg,Feature\color_mean_trau1.npy,Feature\color_out_trau1.npy,Feature\hog_trau1.npy,Feature\color_hist_trau1.npy
126,Data/train\Trau\trau2.jpg,Feature\color_mean_trau2.npy,Feature\color_out_trau2.npy,Feature\hog_trau2.npy,Feature\color_hist_trau2.npy
127,Data/train\Trau\trau3.png,Feature\color_mean_trau3.npy,Feature\color_out_trau3.npy,Feature\hog_trau3.npy,Feature\color_hist_trau3.npy
128,Data/train\Trau\trau4.jpg,Feature\color_mean_trau4.npy,Feature\color_out_trau4.npy,Feature\hog_trau4.npy,Feature\color_hist_trau4.npy
129,Data/train\Trau\trau5.png,Feature\color_mean_trau5.npy,Feature\color_out_trau5.npy,Feature\hog_trau5.npy,Feature\color_hist_trau5.npy
130,Data/train\Trau\trau6.jpg,Feature\color_mean_trau6.npy,Feature\color_out_trau6.npy,Feature\hog_trau6.npy,Feature\color_hist_trau6.npy
131,Data/train\Trau\trau7.png,Feature\color_mean_trau7.npy,Feature\color_out_trau7.npy,Feature\hog_trau7.npy,Feature\color_hist_trau7.npy
132,Data/train\Voi\voi1.jpg,Feature\color_mean_voi1.npy,Feature\color_out_voi1.npy,Feature\hog_voi1.npy,Feature\color_hist_voi1.npy
133,Data/train\Voi\voi2.jpg,Feature\color_mean_voi2.npy,Feature\color_out_voi2.npy,Feature\hog_voi2.npy,Feature\color_hist_voi2.npy
134,Data/train\Voi\voi3.jpg,Feature\color_mean_voi3.npy,Feature\color_out_voi3.npy,Feature\hog_voi3.npy,Feature\color_hist_voi3.npy
135,Data/train\Voi\voi4.jpg,Feature\color_mean_voi4.npy,Feature\color_out_voi4.npy,Feature\hog_voi4.npy,Feature\color_hist_voi4.npy
136,Data/train\Voi\voi5.jpg,Feature\color_mean_voi5.npy,Feature\color_out_voi5.npy,Feature\hog_voi5.npy,Feature\color_hist_voi5.npy
137,Data/train\Voi\voi6.jpg,Feature\color_mean_voi6.npy,Feature\color_out_voi6.npy,Feature\hog_voi6.npy,Feature\color_hist_voi6.npy
138,Data/train\Voi\voi7.jpg,Feature\color_mean_voi7.npy,Feature\color_out_voi7.npy,Feature\hog_voi7.npy,Feature\color_hist_voi7.npy
139,Data/train\Voi\voi8.jpg,Feature\color_mean_voi8.npy,Feature\color_out_voi8.npy,Feature\hog_voi8.npy,Feature\color_hist_voi8.npy
